entityId,TTrvD,TTrvAS,x_center,y_center,radius,numStayPointsVisits,avgTimeVisit,num_travels,avg_travel_time,avg_travel_distance,avg_travel_avg_speed
1,26808.15066,3.43694,438120.53406,6456229.83926,6753.09158,26,160.30769230769232,26,139.69230769230768,966.9815810097069,3.1783925424196964
2,28083.69253,3.60047,438292.84087,6456107.66008,7204.64435,30,126.36666666666666,50,66.38,461.7980300513801,3.221899760139826
3,28607.02936,3.66757,438115.98069,6456961.25948,7004.91442,63,64.04761904761905,61,48.83606557377049,344.37036225897316,3.261298727190284
4,28656.99146,3.67397,438071.55376,6457148.81813,7120.41056,58,67.37931034482759,33,86.48484848484848,614.0677335485217,4.6296365254983405
5,28622.71173,3.66958,438151.38567,6457014.57082,7092.14008,60,66.23333333333333,29,95.96551724137932,699.3582202846468,4.3356011995500365
6,28814.61969,3.69418,438148.39122,6457041.29854,7170.54365,60,65.75,25,109.44,806.1414655556412,4.645760985189653
7,26860.35711,3.44364,438067.84447,6457042.17647,7181.42826,94,51.180851063829785,43,55.06976744186046,424.6080746167926,3.5691288403355212
8,28877.04838,3.70219,438143.41048,6457305.94636,7352.35896,65,61.353846153846156,31,75.80645161290323,574.7473078192379,4.616192729588385
9,28660.81598,3.67446,438078.85777,6457260.81951,7220.48621,57,66.96491228070175,31,75.64516129032258,574.048330295261,4.44941236854461
10,28836.65726,3.69701,438136.19996,6457155.76579,7257.46902,60,64.56666666666666,30,78.06666666666666,603.1561454376083,4.376391372389085
11,28693.92374,3.67871,438087.82514,6457314.02141,7259.87438,55,68.47272727272727,28,83.57142857142857,631.6410318098148,4.680569000783987
12,28567.82066,3.66254,438142.16384,6456860.31047,6950.51033,65,62.90769230769231,29,79.41379310344827,631.5469379296583,4.2566364265232925
13,29073.0928,3.72732,439038.3825,6454986.65091,6399.22516,25,131.24,37,59.108108108108105,359.0973389604999,3.873145989036202
14,28996.5161,3.7175,439129.78872,6454921.90745,6359.03016,32,101.1875,36,60.72222222222222,368.5728139347286,3.8057547492832455
